image,source,type_degradation,niveau
degraded\clothing\001_blur_low.jpg,originals\clothing\CLO_001.jpg,blur,low
degraded\clothing\001_blur_medium.jpg,originals\clothing\CLO_001.jpg,blur,medium
degraded\clothing\001_blur_high.jpg,originals\clothing\CLO_001.jpg,blur,high
degraded\clothing\001_underexposure_low.jpg,originals\clothing\CLO_001.jpg,underexposure,low
degraded\clothing\001_underexposure_medium.jpg,originals\clothing\CLO_001.jpg,underexposure,medium
degraded\clothing\001_underexposure_high.jpg,originals\clothing\CLO_001.jpg,underexposure,high
degraded\clothing\001_overexposure_low.jpg,originals\clothing\CLO_001.jpg,overexposure,low
degraded\clothing\001_overexposure_medium.jpg,originals\clothing\CLO_001.jpg,overexposure,medium
degraded\clothing\001_overexposure_high.jpg,originals\clothing\CLO_001.jpg,overexposure,high
degraded\clothing\001_bad_crop_low.jpg,originals\clothing\CLO_001.jpg,bad_crop,low
degraded\clothing\001_bad_crop_medium.jpg,originals\clothing\CLO_001.jpg,bad_crop,medium
degraded\clothing\001_bad_crop_high.jpg,originals\clothing\CLO_001.jpg,bad_crop,high
degraded\clothing\001_lowres_low.jpg,originals\clothing\CLO_001.jpg,lowres,low
degraded\clothing\001_lowres_medium.jpg,originals\clothing\CLO_001.jpg,lowres,medium
degraded\clothing\001_lowres_high.jpg,originals\clothing\CLO_001.jpg,lowres,high
degraded\clothing\001_jpeg_low.jpg,originals\clothing\CLO_001.jpg,jpeg,low
degraded\clothing\001_jpeg_medium.jpg,originals\clothing\CLO_001.jpg,jpeg,medium
degraded\clothing\001_jpeg_high.jpg,originals\clothing\CLO_001.jpg,jpeg,high
degraded\clothing\002_blur_low.jpg,originals\clothing\CLO_002.jpg,blur,low
degraded\clothing\002_blur_medium.jpg,originals\clothing\CLO_002.jpg,blur,medium
degraded\clothing\002_blur_high.jpg,originals\clothing\CLO_002.jpg,blur,high
degraded\clothing\002_underexposure_low.jpg,originals\clothing\CLO_002.jpg,underexposure,low
degraded\clothing\002_underexposure_medium.jpg,originals\clothing\CLO_002.jpg,underexposure,medium
degraded\clothing\002_underexposure_high.jpg,originals\clothing\CLO_002.jpg,underexposure,high
degraded\clothing\002_overexposure_low.jpg,originals\clothing\CLO_002.jpg,overexposure,low
degraded\clothing\002_overexposure_medium.jpg,originals\clothing\CLO_002.jpg,overexposure,medium
degraded\clothing\002_overexposure_high.jpg,originals\clothing\CLO_002.jpg,overexposure,high
degraded\clothing\002_bad_crop_low.jpg,originals\clothing\CLO_002.jpg,bad_crop,low
degraded\clothing\002_bad_crop_medium.jpg,originals\clothing\CLO_002.jpg,bad_crop,medium
degraded\clothing\002_bad_crop_high.jpg,originals\clothing\CLO_002.jpg,bad_crop,high
degraded\clothing\002_lowres_low.jpg,originals\clothing\CLO_002.jpg,lowres,low
degraded\clothing\002_lowres_medium.jpg,originals\clothing\CLO_002.jpg,lowres,medium
degraded\clothing\002_lowres_high.jpg,originals\clothing\CLO_002.jpg,lowres,high
degraded\clothing\002_jpeg_low.jpg,originals\clothing\CLO_002.jpg,jpeg,low
degraded\clothing\002_jpeg_medium.jpg,originals\clothing\CLO_002.jpg,jpeg,medium
degraded\clothing\002_jpeg_high.jpg,originals\clothing\CLO_002.jpg,jpeg,high
degraded\clothing\003_blur_low.jpg,originals\clothing\CLO_003.jpg,blur,low
degraded\clothing\003_blur_medium.jpg,originals\clothing\CLO_003.jpg,blur,medium
degraded\clothing\003_blur_high.jpg,originals\clothing\CLO_003.jpg,blur,high
degraded\clothing\003_underexposure_low.jpg,originals\clothing\CLO_003.jpg,underexposure,low
degraded\clothing\003_underexposure_medium.jpg,originals\clothing\CLO_003.jpg,underexposure,medium
degraded\clothing\003_underexposure_high.jpg,originals\clothing\CLO_003.jpg,underexposure,high
degraded\clothing\003_overexposure_low.jpg,originals\clothing\CLO_003.jpg,overexposure,low
degraded\clothing\003_overexposure_medium.jpg,originals\clothing\CLO_003.jpg,overexposure,medium
degraded\clothing\003_overexposure_high.jpg,originals\clothing\CLO_003.jpg,overexposure,high
degraded\clothing\003_bad_crop_low.jpg,originals\clothing\CLO_003.jpg,bad_crop,low
degraded\clothing\003_bad_crop_medium.jpg,originals\clothing\CLO_003.jpg,bad_crop,medium
degraded\clothing\003_bad_crop_high.jpg,originals\clothing\CLO_003.jpg,bad_crop,high
degraded\clothing\003_lowres_low.jpg,originals\clothing\CLO_003.jpg,lowres,low
degraded\clothing\003_lowres_medium.jpg,originals\clothing\CLO_003.jpg,lowres,medium
degraded\clothing\003_lowres_high.jpg,originals\clothing\CLO_003.jpg,lowres,high
degraded\clothing\003_jpeg_low.jpg,originals\clothing\CLO_003.jpg,jpeg,low
degraded\clothing\003_jpeg_medium.jpg,originals\clothing\CLO_003.jpg,jpeg,medium
degraded\clothing\003_jpeg_high.jpg,originals\clothing\CLO_003.jpg,jpeg,high
degraded\clothing\004_blur_low.jpg,originals\clothing\CLO_004.jpg,blur,low
degraded\clothing\004_blur_medium.jpg,originals\clothing\CLO_004.jpg,blur,medium
degraded\clothing\004_blur_high.jpg,originals\clothing\CLO_004.jpg,blur,high
degraded\clothing\004_underexposure_low.jpg,originals\clothing\CLO_004.jpg,underexposure,low
degraded\clothing\004_underexposure_medium.jpg,originals\clothing\CLO_004.jpg,underexposure,medium
degraded\clothing\004_underexposure_high.jpg,originals\clothing\CLO_004.jpg,underexposure,high
degraded\clothing\004_overexposure_low.jpg,originals\clothing\CLO_004.jpg,overexposure,low
degraded\clothing\004_overexposure_medium.jpg,originals\clothing\CLO_004.jpg,overexposure,medium
degraded\clothing\004_overexposure_high.jpg,originals\clothing\CLO_004.jpg,overexposure,high
degraded\clothing\004_bad_crop_low.jpg,originals\clothing\CLO_004.jpg,bad_crop,low
degraded\clothing\004_bad_crop_medium.jpg,originals\clothing\CLO_004.jpg,bad_crop,medium
degraded\clothing\004_bad_crop_high.jpg,originals\clothing\CLO_004.jpg,bad_crop,high
degraded\clothing\004_lowres_low.jpg,originals\clothing\CLO_004.jpg,lowres,low
degraded\clothing\004_lowres_medium.jpg,originals\clothing\CLO_004.jpg,lowres,medium
degraded\clothing\004_lowres_high.jpg,originals\clothing\CLO_004.jpg,lowres,high
degraded\clothing\004_jpeg_low.jpg,originals\clothing\CLO_004.jpg,jpeg,low
degraded\clothing\004_jpeg_medium.jpg,originals\clothing\CLO_004.jpg,jpeg,medium
