image,source_type,degradation_type,degradation_level,score_humain,score_auto,gap_auto_minus_human,disagreement_type,sharpness,exposure,contrast,color_balance,effective_resolution,framing,coherence
C:/Users/ahadj/OneDrive/ecommerce-image-quality/dataset/degraded/portable_electronics/068_lowres_high.jpg,degraded,lowres,high,0.4,0.6547,0.2547,auto_high_human_low,16.55,0.65,99.96,100.0,32.37,82.89,55.0
C:/Users/ahadj/OneDrive/ecommerce-image-quality/dataset/originals/portable_electronics/POR_038.jpg,clean,clean,,0.4,0.6637,0.2637,auto_high_human_low,100.0,0.0,9.17,100.0,91.51,86.38,55.0
C:/Users/ahadj/OneDrive/ecommerce-image-quality/dataset/originals/portable_electronics/POR_060.jpg,clean,clean,,0.4,0.6637,0.2637,auto_high_human_low,100.0,0.0,9.17,100.0,91.51,86.38,55.0
C:/Users/ahadj/OneDrive/ecommerce-image-quality/dataset/originals/shoes/SHO_060.jpg,clean,clean,,0.6,0.8726,0.2726,auto_high_human_low,100.0,89.98,76.24,100.0,60.27,98.81,55.0
C:/Users/ahadj/OneDrive/ecommerce-image-quality/dataset/degraded/shoes/165_underexposure_medium.jpg,degraded,underexposure,medium,0.3,0.5748,0.2748,auto_high_human_low,7.64,92.66,72.63,100.0,34.87,49.8,55.0
C:/Users/ahadj/OneDrive/ecommerce-image-quality/dataset/degraded/portable_electronics/061_bad_crop_high.jpg,degraded,crop,high,0.3,0.5846,0.2846,auto_high_human_low,57.77,61.93,100.0,86.88,67.49,40.36,55.0
C:/Users/ahadj/OneDrive/ecommerce-image-quality/dataset/originals/shoes/SHO_038.jpg,clean,clean,,0.4,0.705,0.305,auto_high_human_low,100.0,100.0,100.0,98.91,82.79,46.68,55.0
C:/Users/ahadj/OneDrive/ecommerce-image-quality/dataset/degraded/clothing/046_bad_crop_high.jpg,degraded,crop,high,0.1,0.4141,0.3141,auto_high_human_low,39.06,20.96,20.89,71.57,62.99,39.51,55.0
C:/Users/ahadj/OneDrive/ecommerce-image-quality/dataset/degraded/clothing/016_bad_crop_high.jpg,degraded,crop,high,0.2,0.5386,0.3386,auto_high_human_low,29.94,94.98,72.16,76.53,40.25,40.0,55.0
C:/Users/ahadj/OneDrive/ecommerce-image-quality/dataset/degraded/portable_electronics/091_bad_crop_high.jpg,degraded,crop,high,0.25,0.6589,0.4089,auto_high_human_low,81.48,100.0,100.0,100.0,73.53,40.33,55.0
C:/Users/ahadj/OneDrive/ecommerce-image-quality/dataset/degraded/clothing/031_bad_crop_high.jpg,degraded,crop,high,0.2,0.659,0.459,auto_high_human_low,100.0,55.79,100.0,92.66,66.75,49.8,55.0
