image,source_type,score_auto,score_humain
data\raw_images\clothing\001_1.jpg,clean,0.595,
data\raw_images\clothing\007_1.jpg,clean,0.6065,
data\raw_images\clothing\013_1.jpg,clean,0.5512,
data\raw_images\clothing\019_1.jpg,clean,0.6065,
data\raw_images\clothing\025_1.jpg,clean,0.5732,
data\raw_images\clothing\032_1.jpg,clean,0.2633,
data\raw_images\clothing\038_1.jpg,clean,0.3032,
data\raw_images\clothing\044_1.jpg,clean,0.2267,
data\raw_images\clothing\050_1.jpg,clean,0.5025,
data\raw_images\clothing\056_1.jpg,clean,0.6012,
data\raw_images\clothing\062_1.jpg,clean,0.6065,
data\raw_images\clothing\068_1.jpg,clean,0.584,
data\raw_images\clothing\074_1.jpg,clean,0.7376,
data\raw_images\clothing\080_1.jpg,clean,0.5341,
data\raw_images\clothing\086_1.jpg,clean,0.604,
data\raw_images\clothing\093_1.jpg,clean,0.339,
data\raw_images\clothing\099_1.jpg,clean,0.5556,
data\raw_images\electronics\005_1.jpg,clean,0.6726,
data\raw_images\electronics\011_1.jpg,clean,0.7521,
data\raw_images\electronics\017_1.jpg,clean,0.7048,
data\raw_images\electronics\023_1.jpg,clean,0.7349,
data\raw_images\electronics\029_1.jpg,clean,0.7926,
data\raw_images\electronics\035_1.jpg,clean,0.6166,
data\raw_images\electronics\041_1.jpg,clean,0.7676,
data\raw_images\electronics\047_1.jpg,clean,0.6356,
data\raw_images\electronics\054_1.jpg,clean,0.689,
data\raw_images\electronics\060_1.jpg,clean,0.7676,
data\raw_images\electronics\066_1.jpg,clean,0.7313,
data\raw_images\electronics\072_1.jpg,clean,0.6618,
data\raw_images\electronics\078_1.jpg,clean,0.65,
data\raw_images\electronics\084_1.jpg,clean,0.7175,
data\raw_images\electronics\090_1.jpg,clean,0.6105,
data\raw_images\electronics\096_1.jpg,clean,0.7657,
data\raw_images\home_appliances\002_1.jpg,clean,0.6717,
data\raw_images\home_appliances\008_1.jpg,clean,0.7846,
data\raw_images\home_appliances\015_1.jpg,clean,0.6311,
data\raw_images\home_appliances\021_1.jpg,clean,0.5202,
data\raw_images\home_appliances\027_1.jpg,clean,0.5787,
data\raw_images\home_appliances\033_1.jpg,clean,0.7142,
data\raw_images\home_appliances\039_1.jpg,clean,0.5981,
data\raw_images\home_appliances\045_1.jpg,clean,0.6447,
data\raw_images\home_appliances\051_1.jpg,clean,0.7559,
data\raw_images\home_appliances\057_1.jpg,clean,0.6175,
data\raw_images\home_appliances\063_1.jpg,clean,0.7001,
data\raw_images\home_appliances\069_1.jpg,clean,0.734,
data\raw_images\home_appliances\076_1.jpg,clean,0.6214,
data\raw_images\home_appliances\082_1.jpg,clean,0.6146,
data\raw_images\home_appliances\088_1.jpg,clean,0.7465,
data\raw_images\home_appliances\094_1.jpg,clean,0.7971,
data\raw_images\home_appliances\100_1.jpg,clean,0.636,
